key,E1,E2,E3,G12,G23,G13,total_volume,total_area,relative_density,surface_area,average_face_area,num_faces,specific_stiffness_E1,specific_stiffness_E2,specific_stiffness_E3,anisotropy_index,avg_shear_modulus,shear_anisotropy
adjacency_matrix_10_1_2_3_4_5_7_17_18_19_20,0.181560079,0.247852611,0.256144776,0.10914108,0.115594178,0.120150222,3.1919360000000006,10.426503241062164,0.39899200000000007,797.984,1.0426503241062164,10,0.4550469157276336,0.6211969437983718,0.6419797289168705,1.4107989895730328,0.11496182666666666,1.100870744544584
adjacency_matrix_10_1_2_3_4_5_7_9_11_19_20,0.188967963,0.244225729,0.242895698,0.119431941,0.101522965,0.119692399,3.1929600000000007,10.426503241062164,0.3991200000000001,798.24,1.0426503241062164,10,0.4734615228502705,0.6119105256564441,0.6085781168570854,1.292418699565492,0.11354910166666667,1.1789687091979633
adjacency_matrix_10_1_2_3_4_5_8_10_11_13_17,0.330237675,0.344051793,0.286462134,0.163399687,0.173962228,0.167235687,4.025856000000001,11.937093079090118,0.5032320000000001,1006.464,1.1937093079090118,10,0.6562334569343761,0.683684251001526,0.5692446704502097,1.2010375968224827,0.1681992006666667,1.0646423576074537
adjacency_matrix_10_1_2_3_4_5_8_10_12_15_18,0.342554984,0.284021527,0.292612397,0.166457275,0.179083475,0.17341043,4.12992,11.1209557056427,0.51624,1032.48,1.11209557056427,10,0.6635576166124283,0.5501734212769254,0.566814654036882,1.2060881004981006,0.17298372666666664,1.075852497284964
adjacency_matrix_10_1_2_3_4_5_8_10_15_18_19,0.344629744,0.282770438,0.292269138,0.169044703,0.177896127,0.175677025,4.147648000000001,11.1209557056427,0.5184560000000001,1036.912,1.11209557056427,10,0.6647232243430492,0.5454087482833643,0.5637298787168051,1.2187615736550226,0.17420595166666666,1.052361439565486
adjacency_matrix_10_1_2_3_4_5_8_12_14_16_18,0.28458878,0.279828217,0.352678116,0.17211355,0.171810626,0.172410038,4.121856000000001,11.1209557056427,0.5152320000000001,1030.464,1.11209557056427,10,0.5523507468480217,0.5431110975249983,0.6845035168623065,1.2603379308241813,0.17211140466666666,1.0034887946918951
adjacency_matrix_10_1_2_3_4_5_8_13_15_16_19,0.295031662,0.349205444,0.361194551,0.186326296,0.188661347,0.191328831,4.344320000000001,11.669143855571747,0.5430400000000001,1086.0800000000002,1.1669143855571746,10,0.5432963722746021,0.6430565777843251,0.6651343381703004,1.2242569104328878,0.188772158,1.0268482501256828
adjacency_matrix_10_1_2_3_4_5_8_9_10_12_13,0.346240519,0.349100582,0.307790674,0.179789377,0.190501535,0.188095708,4.330304000000001,11.669143855571747,0.5412880000000001,1082.576,1.1669143855571746,10,0.6396604376967528,0.6449442477941502,0.5686264502446017,1.134214293965255,0.1861288733333333,1.0595817070994134
adjacency_matrix_10_1_2_3_4_5_8_9_11_16_17,0.260630732,0.276107215,0.33855282,0.155638604,0.158787128,0.152527455,3.8396800000000004,11.388904929161072,0.47996000000000005,959.9200000000001,1.1388904929161072,10,0.5430259438286523,0.5752713038586549,0.7053771564297023,1.2989750571701575,0.15565106233333334,1.0410396475834465
adjacency_matrix_10_1_2_3_4_5_9_10_11_14_19,0.264594428,0.270238308,0.27019106,0.154168494,0.145736629,0.154205064,3.749056000000001,10.70674216747284,0.4686320000000001,937.264,1.070674216747284,10,0.5646102442854947,0.5766535533211559,0.5765527322077876,1.0213303055648624,0.15137006233333333,1.0581078007506266
adjacency_matrix_10_1_2_3_4_5_9_10_11_15_18,0.274048882,0.274105616,0.274048873,0.146929952,0.146929947,0.1485778,3.7073280000000004,10.70674216747284,0.46341600000000005,926.832,1.070674216747284,10,0.5913668971291453,0.5914893227683118,0.5913668777081499,1.000207054308886,0.147479233,1.0112152289825573
adjacency_matrix_10_1_2_3_4_5_9_10_11_15_19,0.266432937,0.266853878,0.271611372,0.143532284,0.145369546,0.149214176,3.7600000000000007,10.70674216747284,0.4700000000000001,940.0,1.070674216747284,10,0.566878589361702,0.5677742085106382,0.5778965361702127,1.0194361667829381,0.14603866866666668,1.0395861602815433
adjacency_matrix_10_1_2_3_4_5_9_11_17_18_20,0.18749754,0.250018391,0.261280703,0.115186871,0.118852705,0.123813905,3.1756160000000007,10.426503241062164,0.3969520000000001,793.904,1.0426503241062164,10,0.47234310445595423,0.6298453994437614,0.6582173738890343,1.3935153655882633,0.11928449366666667,1.0748959835882685
adjacency_matrix_10_1_2_3_4_5_9_12_13_14_15,0.203269287,0.335978735,0.28647019,0.156877348,0.160921423,0.167927664,3.9493760000000004,10.572767555713654,0.49367200000000006,987.344,1.0572767555713654,10,0.4117496779238036,0.6805707737121002,0.580284460127372,1.652875060264269,0.16190881166666668,1.070439207067677
adjacency_matrix_10_1_2_3_4_5_9_13_14_19_20,0.207538146,0.320281755,0.277050491,0.151885739,0.143868546,0.16946012,3.7991040000000007,10.70674216747284,0.4748880000000001,949.7760000000001,1.070674216747284,10,0.4370254586344569,0.6744364039520896,0.5834017515708966,1.543242826309145,0.15507146833333332,1.1778816475979397
